DATE,NIFTY_500_CLOSE,52W_HIGH,52W_LOW,PCT_HIGH,ABOVE_200SMA,PCT_ABOVE_200SMA
2007-07-17,3775.945068359375,32,4,12.5,196,76.9
2007-07-18,3774.64501953125,19,5,7.5,196,76.9
2007-07-19,3816.2451171875,28,5,11.0,195,76.5
2007-07-20,3819.294921875,33,5,12.9,194,76.1
2007-07-23,3859.894775390625,31,7,12.2,194,76.1
2007-07-24,3856.144775390625,31,6,12.2,189,74.1
2007-07-25,3828.644775390625,17,6,6.7,186,72.9
2007-07-26,3848.94482421875,20,4,7.8,192,75.3
2007-07-27,3711.545166015625,7,6,2.7,173,67.8
2007-07-30,3710.34521484375,14,6,5.5,176,69.0
2007-07-31,3783.84521484375,15,5,5.9,183,71.8
2007-08-01,3628.845458984375,7,8,2.7,166,65.1
2007-08-02,3642.84521484375,10,7,3.9,167,65.5
2007-08-03,3688.39501953125,14,5,5.5,170,66.7
2007-08-06,3639.945068359375,9,7,3.5,164,64.3
2007-08-07,3660.545166015625,14,6,5.5,169,66.3
2007-08-08,3739.39501953125,14,4,5.5,178,69.8
2007-08-09,3684.09521484375,13,5,5.1,169,66.3
2007-08-10,3628.6953125,7,11,2.7,164,64.3
2007-08-13,3659.89501953125,13,4,5.1,169,66.3
2007-08-14,3660.89501953125,8,5,3.1,169,66.3
2007-08-16,3506.095458984375,5,7,2.0,151,59.2
2007-08-17,3447.395263671875,5,10,2.0,147,57.6
2007-08-20,3519.9453125,9,6,3.5,154,60.4
2007-08-21,3405.1455078125,7,7,2.7,136,53.1
2007-08-22,3450.79541015625,6,16,2.3,135,52.7
